technology,genotype,tissue,sex,timepoint,rep,sample,depth1,depth2,sublibrary,sublibrary_sample,run_number,rna_experiment_accession,rna_library_accession,rna_file_accession,lower_nCount_RNA,upper_nCount_RNA,lower_nFeature_RNA,upper_doublet_scores,upper_percent.mt
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12F,12F_A_36_F_2,1005,ENCSR826EHD,ENCLB265BSE,ENCFF919CCW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12A,12A_A_36_M_1,1005,ENCSR108ZIJ,ENCLB893NNQ,ENCFF248KCA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12B,12B_A_36_M_1,1005,ENCSR108ZIJ,ENCLB070HDN,ENCFF505IKH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12C,12C_A_36_M_1,1005,ENCSR108ZIJ,ENCLB087NZB,ENCFF218GZL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12D,12D_A_36_M_1,1005,ENCSR108ZIJ,ENCLB073BOU,ENCFF160TOS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12E,12E_A_36_M_1,1005,ENCSR108ZIJ,ENCLB570QFV,ENCFF591BHA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,standard,12k,12F,12F_A_36_M_1,1005,ENCSR108ZIJ,ENCLB195ZTW,ENCFF624KQZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12A,12A_A_36_M_2,1005,ENCSR108ZIJ,ENCLB614OIT,ENCFF367IME,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12B,12B_A_36_M_2,1005,ENCSR108ZIJ,ENCLB924HOE,ENCFF533UXG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12C,12C_A_36_M_2,1005,ENCSR108ZIJ,ENCLB122SMO,ENCFF421VUX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12D,12D_A_36_M_2,1005,ENCSR108ZIJ,ENCLB250NVP,ENCFF032NUV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12E,12E_A_36_M_2,1005,ENCSR108ZIJ,ENCLB028UPL,ENCFF946ZTQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,standard,12k,12F,12F_A_36_M_2,1005,ENCSR108ZIJ,ENCLB138WTF,ENCFF958PLV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12A,12A_A_4_F_1,1005,ENCSR312AOC,ENCLB898CVN,ENCFF111AYM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12B,12B_A_4_F_1,1005,ENCSR312AOC,ENCLB692UOX,ENCFF896GFF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12C,12C_A_4_F_1,1005,ENCSR312AOC,ENCLB262MKL,ENCFF432ZRG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12D,12D_A_4_F_1,1005,ENCSR312AOC,ENCLB534BWW,ENCFF113QBF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12E,12E_A_4_F_1,1005,ENCSR312AOC,ENCLB351GFD,ENCFF144BEY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,standard,12k,12F,12F_A_4_F_1,1005,ENCSR312AOC,ENCLB839JPO,ENCFF742CRT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12A,12A_A_4_F_2,1005,ENCSR312AOC,ENCLB812HBZ,ENCFF642VNS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12B,12B_A_4_F_2,1005,ENCSR312AOC,ENCLB282ZWT,ENCFF128QCN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12C,12C_A_4_F_2,1005,ENCSR312AOC,ENCLB775RVZ,ENCFF640ELG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12D,12D_A_4_F_2,1005,ENCSR312AOC,ENCLB548YVT,ENCFF921HEW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12E,12E_A_4_F_2,1005,ENCSR312AOC,ENCLB304TUY,ENCFF679ZBD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,standard,12k,12F,12F_A_4_F_2,1005,ENCSR312AOC,ENCLB631NXN,ENCFF769AHP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12A,12A_A_4_M_1,1005,ENCSR165FLF,ENCLB221HSZ,ENCFF179LJT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12B,12B_A_4_M_1,1005,ENCSR165FLF,ENCLB327FIL,ENCFF599NST,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12C,12C_A_4_M_1,1005,ENCSR165FLF,ENCLB816NAV,ENCFF680DNV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12D,12D_A_4_M_1,1005,ENCSR165FLF,ENCLB647HGC,ENCFF875CXO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12E,12E_A_4_M_1,1005,ENCSR165FLF,ENCLB016URT,ENCFF868BLS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,standard,12k,12F,12F_A_4_M_1,1005,ENCSR165FLF,ENCLB960GYI,ENCFF300FGU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12A,12A_A_4_M_2,1005,ENCSR165FLF,ENCLB454GCY,ENCFF047RTG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12B,12B_A_4_M_2,1005,ENCSR165FLF,ENCLB083BWB,ENCFF676OFY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12C,12C_A_4_M_2,1005,ENCSR165FLF,ENCLB465IEH,ENCFF315AGI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12D,12D_A_4_M_2,1005,ENCSR165FLF,ENCLB489DGU,ENCFF258RUE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12E,12E_A_4_M_2,1005,ENCSR165FLF,ENCLB288MRT,ENCFF104IHJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,standard,12k,12F,12F_A_4_M_2,1005,ENCSR165FLF,ENCLB487UMS,ENCFF926YMR,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12A,12A_C_10_F_1,1005,ENCSR827AOS,ENCLB133YOM,ENCFF803PBV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12B,12B_C_10_F_1,1005,ENCSR827AOS,ENCLB593XPQ,ENCFF709TRO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12C,12C_C_10_F_1,1005,ENCSR827AOS,ENCLB329RCA,ENCFF902JRE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12D,12D_C_10_F_1,1005,ENCSR827AOS,ENCLB263JBB,ENCFF110DOH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12E,12E_C_10_F_1,1005,ENCSR827AOS,ENCLB865RYC,ENCFF447OBH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,standard,12k,12F,12F_C_10_F_1,1005,ENCSR827AOS,ENCLB922FJL,ENCFF685XTX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12A,12A_C_10_F_2,1005,ENCSR827AOS,ENCLB841NAH,ENCFF776XUI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12B,12B_C_10_F_2,1005,ENCSR827AOS,ENCLB467TYR,ENCFF495KFZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12C,12C_C_10_F_2,1005,ENCSR827AOS,ENCLB154DTV,ENCFF896DZN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12D,12D_C_10_F_2,1005,ENCSR827AOS,ENCLB177IBU,ENCFF543ZME,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12E,12E_C_10_F_2,1005,ENCSR827AOS,ENCLB171AWX,ENCFF014UGT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,standard,12k,12F,12F_C_10_F_2,1005,ENCSR827AOS,ENCLB761CEJ,ENCFF041TZM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12A,12A_C_10_M_1,1005,ENCSR527LIA,ENCLB726AOO,ENCFF851WKM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12B,12B_C_10_M_1,1005,ENCSR527LIA,ENCLB408NJK,ENCFF883DFW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12C,12C_C_10_M_1,1005,ENCSR527LIA,ENCLB820EWT,ENCFF768OMA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12D,12D_C_10_M_1,1005,ENCSR527LIA,ENCLB200QHS,ENCFF009FTK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12E,12E_C_10_M_1,1005,ENCSR527LIA,ENCLB944HIA,ENCFF999XQO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,standard,12k,12F,12F_C_10_M_1,1005,ENCSR527LIA,ENCLB953SQY,ENCFF616WYJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12A,12A_C_10_M_2,1005,ENCSR527LIA,ENCLB141HAL,ENCFF793VBR,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12B,12B_C_10_M_2,1005,ENCSR527LIA,ENCLB770RDO,ENCFF907BEJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12C,12C_C_10_M_2,1005,ENCSR527LIA,ENCLB643OTO,ENCFF543XCK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12D,12D_C_10_M_2,1005,ENCSR527LIA,ENCLB116ELG,ENCFF159GMB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12E,12E_C_10_M_2,1005,ENCSR527LIA,ENCLB053FYQ,ENCFF036DHR,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,standard,12k,12F,12F_C_10_M_2,1005,ENCSR527LIA,ENCLB838GNC,ENCFF448UCD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12A,12A_C_14_F_1,1005,ENCSR084RQP,ENCLB328BQT,ENCFF608PBK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12B,12B_C_14_F_1,1005,ENCSR084RQP,ENCLB399MEO,ENCFF859SYT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12C,12C_C_14_F_1,1005,ENCSR084RQP,ENCLB663CRI,ENCFF828NCT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12D,12D_C_14_F_1,1005,ENCSR084RQP,ENCLB998MKW,ENCFF756CEK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12E,12E_C_14_F_1,1005,ENCSR084RQP,ENCLB281VBR,ENCFF109ELP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,12k,12F,12F_C_14_F_1,1005,ENCSR084RQP,ENCLB065BSJ,ENCFF585YIP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12A,12A_C_14_F_2,1005,ENCSR084RQP,ENCLB862ALR,ENCFF405OLN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12B,12B_C_14_F_2,1005,ENCSR084RQP,ENCLB049FGC,ENCFF790CFM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12C,12C_C_14_F_2,1005,ENCSR084RQP,ENCLB031XDH,ENCFF246RNW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12D,12D_C_14_F_2,1005,ENCSR084RQP,ENCLB904QGH,ENCFF391HBQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12E,12E_C_14_F_2,1005,ENCSR084RQP,ENCLB952NZL,ENCFF169KXE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,12k,12F,12F_C_14_F_2,1005,ENCSR084RQP,ENCLB976KVP,ENCFF182ICL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12A,12A_C_14_M_1,1005,ENCSR118FCJ,ENCLB455PAL,ENCFF328OLT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12B,12B_C_14_M_1,1005,ENCSR118FCJ,ENCLB096OHB,ENCFF286RGY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12C,12C_C_14_M_1,1005,ENCSR118FCJ,ENCLB290SWQ,ENCFF829RIF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12D,12D_C_14_M_1,1005,ENCSR118FCJ,ENCLB321GSN,ENCFF345NNZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12E,12E_C_14_M_1,1005,ENCSR118FCJ,ENCLB141HOZ,ENCFF923UCY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,12k,12F,12F_C_14_M_1,1005,ENCSR118FCJ,ENCLB892PQW,ENCFF373XZQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12A,12A_C_14_M_2,1005,ENCSR118FCJ,ENCLB834MCB,ENCFF777VWP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12B,12B_C_14_M_2,1005,ENCSR118FCJ,ENCLB291TDM,ENCFF111QSE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12C,12C_C_14_M_2,1005,ENCSR118FCJ,ENCLB570DFI,ENCFF632UEI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12D,12D_C_14_M_2,1005,ENCSR118FCJ,ENCLB258CYJ,ENCFF660OQY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12E,12E_C_14_M_2,1005,ENCSR118FCJ,ENCLB755ROJ,ENCFF825EHJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,12k,12F,12F_C_14_M_2,1005,ENCSR118FCJ,ENCLB365ZLN,ENCFF696EQH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12A,12A_C_18m_F_1,1005,ENCSR308DHB,ENCLB838SQN,ENCFF174MKG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12B,12B_C_18m_F_1,1005,ENCSR308DHB,ENCLB925MFS,ENCFF063QKG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12C,12C_C_18m_F_1,1005,ENCSR308DHB,ENCLB448HRX,ENCFF984WWV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12D,12D_C_18m_F_1,1005,ENCSR308DHB,ENCLB812HTK,ENCFF631QPZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12E,12E_C_18m_F_1,1005,ENCSR308DHB,ENCLB311BRJ,ENCFF493POK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,standard,12k,12F,12F_C_18m_F_1,1005,ENCSR308DHB,ENCLB091RDJ,ENCFF148FHT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12A,12A_C_18m_F_2,1005,ENCSR308DHB,ENCLB651LVI,ENCFF749CAJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12B,12B_C_18m_F_2,1005,ENCSR308DHB,ENCLB395TFC,ENCFF090XIC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12C,12C_C_18m_F_2,1005,ENCSR308DHB,ENCLB534WOZ,ENCFF687UYA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12D,12D_C_18m_F_2,1005,ENCSR308DHB,ENCLB782ZXC,ENCFF186EUM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12E,12E_C_18m_F_2,1005,ENCSR308DHB,ENCLB948TJF,ENCFF751FNX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,standard,12k,12F,12F_C_18m_F_2,1005,ENCSR308DHB,ENCLB901OXL,ENCFF544EIX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12A,12A_C_18m_M_1,1005,ENCSR883XZK,ENCLB756ZTK,ENCFF242QKK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12B,12B_C_18m_M_1,1005,ENCSR883XZK,ENCLB073JEC,ENCFF184QMZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12C,12C_C_18m_M_1,1005,ENCSR883XZK,ENCLB732IPN,ENCFF200BFN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12D,12D_C_18m_M_1,1005,ENCSR883XZK,ENCLB494JPK,ENCFF920HVZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12E,12E_C_18m_M_1,1005,ENCSR883XZK,ENCLB547YDV,ENCFF798KTS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,standard,12k,12F,12F_C_18m_M_1,1005,ENCSR883XZK,ENCLB064BAG,ENCFF873CMH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12A,12A_C_18m_M_2,1005,ENCSR883XZK,ENCLB086IYN,ENCFF375SZE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12B,12B_C_18m_M_2,1005,ENCSR883XZK,ENCLB728KQB,ENCFF821UMU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12C,12C_C_18m_M_2,1005,ENCSR883XZK,ENCLB239NHF,ENCFF875WUW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12D,12D_C_18m_M_2,1005,ENCSR883XZK,ENCLB999XEY,ENCFF745HDQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12E,12E_C_18m_M_2,1005,ENCSR883XZK,ENCLB688INC,ENCFF914OQC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,standard,12k,12F,12F_C_18m_M_2,1005,ENCSR883XZK,ENCLB584DIO,ENCFF844YTZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12A,12A_C_25_F_1,1005,ENCSR611QJH,ENCLB152LTU,ENCFF305CWU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12B,12B_C_25_F_1,1005,ENCSR611QJH,ENCLB007JAX,ENCFF147AHE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12C,12C_C_25_F_1,1005,ENCSR611QJH,ENCLB628SLJ,ENCFF902GMN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12D,12D_C_25_F_1,1005,ENCSR611QJH,ENCLB087EXR,ENCFF352QQC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12E,12E_C_25_F_1,1005,ENCSR611QJH,ENCLB685DFI,ENCFF808ETA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,standard,12k,12F,12F_C_25_F_1,1005,ENCSR611QJH,ENCLB306YYV,ENCFF374WBX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12A,12A_C_25_F_2,1005,ENCSR611QJH,ENCLB506XBE,ENCFF727EAP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12B,12B_C_25_F_2,1005,ENCSR611QJH,ENCLB331LLN,ENCFF466UIJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12C,12C_C_25_F_2,1005,ENCSR611QJH,ENCLB769FNC,ENCFF190GLM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12D,12D_C_25_F_2,1005,ENCSR611QJH,ENCLB510HRY,ENCFF960QSR,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12E,12E_C_25_F_2,1005,ENCSR611QJH,ENCLB612RUU,ENCFF696CUB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,standard,12k,12F,12F_C_25_F_2,1005,ENCSR611QJH,ENCLB435FTT,ENCFF902QSP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12A,12A_C_25_M_1,1005,ENCSR248MFG,ENCLB417MYN,ENCFF058GSD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12B,12B_C_25_M_1,1005,ENCSR248MFG,ENCLB622ADD,ENCFF378EDN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12C,12C_C_25_M_1,1005,ENCSR248MFG,ENCLB613KZV,ENCFF095KOZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12D,12D_C_25_M_1,1005,ENCSR248MFG,ENCLB534DUU,ENCFF549JQO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12E,12E_C_25_M_1,1005,ENCSR248MFG,ENCLB412QYC,ENCFF234KZG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,standard,12k,12F,12F_C_25_M_1,1005,ENCSR248MFG,ENCLB388FEE,ENCFF252FVW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,2,C_25_M_2,standard,12k,12A,12A_C_25_M_2,1005,ENCSR248MFG,ENCLB214WZS,ENCFF611SYB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,2,C_25_M_2,standard,12k,12B,12B_C_25_M_2,1005,ENCSR248MFG,ENCLB003XFR,ENCFF105ITC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,2,C_25_M_2,standard,12k,12C,12C_C_25_M_2,1005,ENCSR248MFG,ENCLB372FBK,ENCFF024IYD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,2,C_25_M_2,standard,12k,12D,12D_C_25_M_2,1005,ENCSR248MFG,ENCLB777CMQ,ENCFF578PMX,500,30000,500,0.2,0.5
